,test_best_f2_computed,model_type,encoder,run_id,epochs_ran,in_channels,use_building_prob,patch_size,batch_size,pos_weight,bce_weight,dice_weight,lovasz_weight,oversample_factor,cosine_t_max,eval_stride,val_iou,val_f1,best_val_f1,f1_threshold,val_f2,best_val_f2,f2_threshold,val_precision,val_recall,val_ap,val_kappa,test_iou,test_f1,test_f2,test_precision,test_recall,test_ap,test_kappa,threshold_sweep_extent,note,mask_version
15,0.423,deeplabv3plus,resnet50,27,138,5,True,1024.0,8,30.0,0.5,0.0,0.5,4.0,100.0,512,0.1942,0.3253,0.325,0.45,0.3517,0.423,0.298,0.2891,0.3718,0.2567,0.3015,0.1614,0.2779,0.2779,0.2778,0.2779,0.2098,0.2491,1.0,"DeepLabV3+ + ResNet-50 (ImageNet) — 4 NAIP + building prob, pw=30, 0.5 BCE + 0.5 Lovász, 4x oversample, 1024, band dropout, 2nd vacancy mask, LR warmup",v2
14,0.419,deeplabv3plus,resnet50,24,99,5,True,1024.0,8,30.0,0.5,0.0,0.5,4.0,100.0,512,0.1932,0.3239,0.342,0.488,0.2947,0.419,0.387,0.3877,0.2781,0.2732,0.3063,0.134,0.2364,0.1965,0.3574,0.1766,0.2165,0.2165,,"DeepLabV3+ + ResNet-50 (ImageNet) — 4 NAIP + building prob, pw=30, 0.5 BCE + 0.5 Lovász, 4x oversample, 1024, band dropout, 2nd vacancy mask, LR warmup",v2
11,0.406,deeplabv3plus,resnet50,18,117,5,True,1024.0,8,30.0,0.5,0.0,0.5,4.0,100.0,512,0.154,0.2668,0.282,0.5,0.4045,0.406,0.5,0.1703,0.6167,0.1849,0.2303,0.1488,0.259,0.3851,0.1676,0.57,0.1681,0.2124,0.5,"DeepLabV3+ + ResNet-50 (ImageNet) — 4 NAIP + building prob, pw=30, 0.5 BCE + 0.5 Lovász, 4x oversample, 1024, band dropout",v2
28,0.39,unet,resnet34,29,172,5,True,512.0,4,30.0,0.5,0.0,0.5,4.0,100.0,256,0.1428,0.2499,0.26,0.558,0.385,0.39,0.488,0.1577,0.6019,0.1479,0.2121,0.122,0.2175,0.3282,0.1393,0.4965,0.1327,0.1677,0.82,"UNet-64 + ResNet-18 (ImageNet) — 4 NAIP + building prob, pw=30, 0.5 BCE + 0.5 Lovász, 4x oversample, 256 patch, band dropout",v2
31,0.382,unet,resnet34,32,118,4,False,512.0,4,30.0,0.5,0.0,0.5,4.0,100.0,256,0.1679,0.2875,0.29,0.5,0.3303,0.382,0.37,0.2364,0.3667,0.2124,0.2603,0.1302,0.2304,0.2557,0.1977,0.2759,0.1595,0.1943,1.0,"UNet-64 + ResNet-34 (ImageNet) — 4 NAIP RGBN only (no building prob), pw=30, 0.5 BCE + 0.5 Lovász, 4x oversample, 512 patch, band dropout, v2 mask",v2
29,0.373,unet,resnet34,30,133,5,True,512.0,4,30.0,0.5,0.0,0.5,4.0,100.0,256,0.1345,0.2371,0.242,0.506,0.3674,0.373,0.5,0.149,0.58,0.1561,0.1985,0.1248,0.2219,0.3408,0.1403,0.53,0.1447,0.1717,,"UNet-64 + ResNet-18 (ImageNet) — 4 NAIP + building prob, pw=30, 0.5 BCE + 0.5 Lovász, 4x oversample, 256 patch, band dropout",v2
30,0.371,unet,resnet34,31,87,4,False,512.0,4,30.0,0.5,0.0,0.5,4.0,100.0,256,0.169,0.2892,0.291,0.548,0.3467,0.371,0.425,0.2265,0.3996,0.2278,0.2606,0.1413,0.2476,0.2772,0.2102,0.3012,0.1799,0.212,,"UNet-64 + ResNet-34 (ImageNet) — 4 NAIP RGBN only (no building prob), pw=30, 0.5 BCE + 0.5 Lovász, 4x oversample, 512 patch, band dropout, v2 mask",v2
27,0.3705,unet,resnet34,28,257,5,True,512.0,4,30.0,0.5,0.0,0.5,4.0,100.0,256,0.1171,0.2096,0.222,0.493,0.2482,0.322,0.446,0.1664,0.283,0.1337,0.1701,0.1495,0.2601,0.3133,0.2027,0.3628,0.196,0.2298,0.95,"UNet-64 + ResNet-18 (ImageNet) — 4 NAIP + building prob, pw=30, 0.5 BCE + 0.5 Lovász, 4x oversample, 256 patch, band dropout",
22,0.3577,unet,resnet34,13,76,4,,256.0,12,30.0,0.5,0.0,0.5,8.0,100.0,124,0.129,0.2285,0.23,0.492,0.2931,0.337,0.374,0.1671,0.3611,0.1373,0.1865,0.1306,0.231,0.3298,0.1541,0.4612,0.1378,0.1945,0.98,"UNet-64 + ResNet-34 (ImageNet) — 4 bands only, pw=30, 0.5 BCE + 0.5 Lovász, 8x oversample",
9,0.3565,deeplabv3plus,resnet50,15,135,4,,1024.0,8,30.0,0.5,0.0,0.5,4.0,100.0,512,0.1254,0.2228,0.2239999999999999,0.5,0.3253,0.353,0.355,0.1461,0.4693,0.137,0.1753,0.1355,0.2387,0.3563,0.1539,0.5308,0.1589,0.2007,0.5,"DeepLabV3+ + ResNet-50 (ImageNet) — 4 bands only, pw=30, 0.5 BCE + 0.5 Lovász, 4x oversample, 1024, band dropout",
